# Noms de la població. 2020
# Alt Empordà
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d02
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00001;D;MARIA/MARÍA;1659;11,59
00002;H;JOSÉ;1448;10,11
00003;H;JORDI;1382;9,65
00004;H;ANTONIO;1257;8,78
00005;H;JUAN;1228;8,58
00006;H;FRANCISCO;1141;7,97
00007;H;DAVID;1103;7,70
00008;H;JOSEP;1035;7,23
00009;D;MONTSERRAT;1010;7,05
00010;H;JOAN;1002;7,00
00011;H;MOHAMED;985;6,88
00012;D;MARÍA DEL CARMEN;964;6,73
00013;H;MARC;953;6,66
00014;D;CARMEN;904;6,31
00015;H;MANUEL;888;6,20
00016;D;MARTA;811;5,66
00017;D;NÚRIA/NURIA;770;5,38
00018;D;ANNA;705;4,92
00019;D;MARIA TERESA/MARÍA TERESA;672;4,69
00020;D;LAURA;668;4,67
00021;H;DANIEL;651;4,55
00022;D;ROSA;604;4,22
00023;H;CARLOS;596;4,16
00024;D;ISABEL;591;4,13
00025;D;CRISTINA;585;4,09
00026;D;DOLORES;580;4,05
00027;D;JOSEFA;575;4,02
00028;D;ANA MARIA/ANA MARÍA;556;3,88
00029;D;FRANCISCA;543;3,79
00030;H;PEDRO;541;3,78
00030;H;PERE;541;3,78
00030;H;XAVIER;541;3,78
00033;H;ALBERT;536;3,74
00034;D;JÚLIA/JULIA;521;3,64
00035;D;SARA;516;3,60
00036;H;JAUME;504;3,52
00037;D;ANA;489;3,42
00038;D;SÍLVIA/SILVIA;479;3,35
00039;D;MARIA DOLORES/MARÍA DOLORES;477;3,33
00040;H;RAMON/RAMÓN;473;3,30
00041;H;MIGUEL;465;3,25
00042;D;ANTÒNIA/ANTONIA;448;3,13
00042;H;MIQUEL;448;3,13
00044;H;RAFAEL;446;3,11
00045;H;JORGE;436;3,05
00046;H;PAU;434;3,03
00047;H;JOSÉ ANTONIO;433;3,02
00048;H;JAVIER;424;2,96
00049;H;JOSÉ MARIA/JOSÉ MARÍA;423;2,95
00050;D;MARINA;420;2,93
00050;D;PAULA;420;2,93
00052;D;PILAR;419;2,93
00052;D;ROSA MARIA/ROSA MARÍA;419;2,93
00054;D;TERESA;412;2,88
00055;D;EVA;398;2,78
00056;H;LLUÍS;397;2,77
00057;D;LAIA;395;2,76
00058;H;LUIS;394;2,75
00059;H;ÀNGEL/ÁNGEL;392;2,74
00060;D;MARGARITA;391;2,73
00061;D;MARIA ROSA/MARÍA ROSA;390;2,72
00062;H;FRANCISCO JAVIER;383;2,67
00063;D;FÀTIMA/FÁTIMA;381;2,66
00064;H;SERGI;365;2,55
00065;D;MARIA DEL PILAR/MARÍA DEL PILAR;364;2,54
00066;H;ÀLEX/ÁLEX;362;2,53
00067;D;ALBA;359;2,51
00068;H;FRANCESC;357;2,49
00069;D;SÒNIA/SONIA;356;2,49
00070;H;JOSÉ LUIS;352;2,46
00071;H;JOAQUÍN;345;2,41
00072;H;IVAN/IVÁN;337;2,35
00073;H;MARTÍ;336;2,35
00074;H;ADRIÀ;332;2,32
00075;D;MÒNICA/MÓNICA;323;2,26
00076;H;JESÚS;322;2,25
00076;H;JOSEP MARIA;322;2,25
00078;D;CARLA;320;2,23
00079;D;ELENA;319;2,23
00080;H;CARLES;316;2,21
00080;D;LÍDIA/LIDIA;316;2,21
00082;D;JUANA;302;2,11
00083;H;JAIME;301;2,10
00083;D;SANDRA;301;2,10
00083;H;SERGIO;301;2,10
00083;H;ÒSCAR/ÓSCAR;301;2,10
00087;H;JOAQUIM;299;2,09
00087;D;MIREIA;299;2,09
00089;H;ALEJANDRO;298;2,08
00090;D;MARIA ISABEL/MARÍA ISABEL;296;2,07
00091;H;AHMED;294;2,05
00092;H;ARNAU;292;2,04
00093;H;POL;291;2,03
00094;H;GERARD;288;2,01
00095;H;VÍCTOR;287;2,00
00096;D;DOLORS;280;1,96
00097;D;ROSER;279;1,95
00098;D;ESTHER;277;1,93
00099;D;NATÀLIA/NATALIA;276;1,93
00100;D;MERCEDES;275;1,92
00101;D;CONCEPCIÓN;265;1,85
00101;H;FERNANDO;265;1,85
00103;H;JOSÉ MANUEL;263;1,84
00104;D;GEMMA;261;1,82
00105;H;ENRIC;259;1,81
00106;H;ERIC/ÈRIC/ÉRIC;253;1,77
00106;D;MARIA ÁNGELES/MARÍA ÁNGELES;253;1,77
00108;D;OLGA;250;1,75
00108;H;RAÜL/RAÚL;250;1,75
00110;D;ARIADNA;247;1,73
00111;D;CLÀUDIA/CLAUDIA;243;1,70
00112;D;MARIA DOLORS/MARÍA DOLORS;242;1,69
00113;D;CATALINA;239;1,67
00114;D;RAQUEL;238;1,66
00115;H;JUAN JOSÉ;237;1,66
00115;D;MANUELA;237;1,66
00115;H;MOHAMMED;237;1,66
00118;H;ALBERTO;233;1,63
00119;H;ENRIQUE;232;1,62
00119;H;JOEL;232;1,62
00121;D;ENCARNACIÓN;225;1,57
00122;H;JUAN CARLOS;223;1,56
00123;H;MIGUEL ÀNGEL/MIGUEL ÁNGEL;222;1,55
00124;H;ADAM;219;1,53
00125;D;IRENE;218;1,52
00125;D;YOLANDA;218;1,52
00127;H;EDUARD;215;1,50
00128;D;MERCÈ;214;1,49
00128;H;SALVADOR;214;1,49
00130;H;SANTIAGO;211;1,47
00131;D;MARIA LUISA/MARÍA LUISA;209;1,46
00132;H;NIL;208;1,45
00132;D;SUSANA;208;1,45
00134;H;ROGER;206;1,44
00135;D;AINA;205;1,43
00135;D;ESTER;205;1,43
00137;D;LOURDES;201;1,40
00137;D;ROSARIO;201;1,40
00139;H;ADRIÁN;200;1,40
00139;D;MARÍA JOSÉ;200;1,40
00141;H;ALEIX;197;1,38
00141;D;CARME;197;1,38
00143;H;ORIOL;194;1,35
00144;H;YOUSSEF;193;1,35
00145;H;JUAN ANTONIO;192;1,34
00145;D;MARTINA;192;1,34
00147;H;NARCÍS;191;1,33
00148;D;EMMA;185;1,29
00149;H;ISAAC;182;1,27
00150;H;GUILLEM;181;1,26
00151;D;ANDREA;179;1,25
00151;H;BIEL;179;1,25
00151;H;CRISTIÁN;179;1,25
00154;D;ANNA MARIA/ANNA MARÍA;178;1,24
00154;D;JUDIT;178;1,24
00156;H;FERRAN;177;1,24
00156;D;LUCÍA;177;1,24
00158;D;CLARA;175;1,22
00158;D;ÀNGELA/ÁNGELA;175;1,22
00160;D;MÍRIAM/MIRIAM;174;1,22
00161;H;DIEGO;167;1,17
00161;D;ELISABET;167;1,17
00161;D;JOSEFINA;167;1,17
00161;H;JUAN MANUEL;167;1,17
00165;H;ANTONI;166;1,16
00165;D;PATRÍCIA/PATRICIA;166;1,16
00167;H;JAN;165;1,15
00167;H;RUBÈN/RUBÉN;165;1,15
00169;D;JUDITH;161;1,12
00170;D;JANA;156;1,09
00171;H;GABRIEL;155;1,08
00171;D;MAR;155;1,08
00173;H;ISMAEL;153;1,07
00173;D;NEUS;153;1,07
00175;D;CAROLINA;152;1,06
00176;D;JOANA;150;1,05
00177;H;ANDRÉS;149;1,04
00177;D;GLÒRIA/GLORIA;149;1,04
00177;D;KHADIJA;149;1,04
00177;H;MARTÍN;149;1,04
00181;H;RACHID;145;1,01
00182;H;EDUARDO;144;1,01
00183;D;VICTÒRIA/VICTORIA;143;1,00
00184;D;ABRIL;139;0,97
00184;H;MARIO;139;0,97
00186;D;MARIA ÀNGELS;138;0,96
00186;H;SAID/SAÏD;138;0,96
00188;H;FRANCESC XAVIER;137;0,96
00188;H;OMAR;137;0,96
00190;D;VERÒNICA/VERÓNICA;136;0,95
00191;D;ALÍCIA/ALICIA;134;0,94
00191;D;MARIONA;134;0,94
00191;H;VICENTE;134;0,94
