# Noms de la població. 2020
# Baix Empordà
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d10
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00001;D;MARIA/MARÍA;1720;12,79
00002;H;JORDI;1700;12,64
00003;H;JOSÉ;1595;11,86
00004;H;ANTONIO;1401;10,42
00005;D;MONTSERRAT;1335;9,93
00006;H;JOSEP;1297;9,64
00007;H;JUAN;1217;9,05
00008;H;FRANCISCO;1191;8,86
00009;H;DAVID;1131;8,41
00010;H;JOAN;1112;8,27
00011;D;NÚRIA/NURIA;1056;7,85
00012;D;MARÍA DEL CARMEN;1053;7,83
00013;H;MARC;1050;7,81
00014;H;MOHAMED;1008;7,50
00015;D;CARMEN;1007;7,49
00016;D;MARTA;896;6,66
00017;H;MANUEL;882;6,56
00018;D;ANNA;822;6,11
00019;D;CRISTINA;801;5,96
00020;D;LAURA;774;5,76
00021;D;JOSEFA;707;5,26
00022;H;DANIEL;699;5,20
00023;D;MARIA TERESA/MARÍA TERESA;693;5,15
00024;D;ISABEL;676;5,03
00025;H;ALBERT;674;5,01
00026;H;CARLOS;670;4,98
00027;H;XAVIER;586;4,36
00028;D;ROSA;566;4,21
00029;D;ANA MARIA/ANA MARÍA;557;4,14
00030;D;FRANCISCA;555;4,13
00031;D;MARIA DOLORES/MARÍA DOLORES;549;4,08
00032;D;JÚLIA/JULIA;544;4,05
00033;H;LLUÍS;539;4,01
00034;D;DOLORES;538;4,00
00035;D;ANA;530;3,94
00035;H;JORGE;530;3,94
00037;H;PEDRO;522;3,88
00037;H;RAMON/RAMÓN;522;3,88
00039;D;SÍLVIA/SILVIA;494;3,67
00040;H;MIGUEL;491;3,65
00041;D;ANTÒNIA/ANTONIA;484;3,60
00041;H;PERE;484;3,60
00043;D;MARINA;463;3,44
00044;H;JAVIER;462;3,44
