# Noms de la població. 2020
# Cerdanya
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d15
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00001;H;JORDI;270;14,85
00002;D;MARIA/MARÍA;252;13,86
00003;D;MONTSERRAT;213;11,71
00004;H;JOSÉ;199;10,94
00004;H;MARC;199;10,94
00006;H;ANTONIO;193;10,61
00007;H;JOSEP;191;10,50
00008;H;JOAN;190;10,45
00009;D;NÚRIA/NURIA;168;9,24
00010;H;JUAN;158;8,69
00011;H;DAVID;154;8,47
00012;D;MARTA;143;7,86
00013;H;FRANCISCO;139;7,64
00014;D;MARÍA DEL CARMEN;136;7,48
00015;D;ANNA;126;6,93
00016;H;RAMON/RAMÓN;117;6,43
00017;H;ALBERT;115;6,32
00018;D;LAURA;111;6,10
00019;D;ROSA;110;6,05
00020;D;MARIA TERESA/MARÍA TERESA;107;5,88
00021;H;MANUEL;105;5,77
00021;H;XAVIER;105;5,77
00023;H;DANIEL;104;5,72
00023;H;PERE;104;5,72
00025;D;CARMEN;96;5,28
00025;D;CRISTINA;96;5,28
00025;H;FRANCESC;96;5,28
00028;H;CARLOS;95;5,22
00029;D;JOSEFA;90;4,95
00030;H;JAVIER;88;4,84
00031;H;JORGE;86;4,73
00032;H;FRANCISCO JAVIER;84;4,62
00032;D;ISABEL;84;4,62
00034;D;LAIA;82;4,51
00035;H;JOSÉ MARIA/JOSÉ MARÍA;81;4,45
00036;D;JÚLIA/JULIA;80;4,40
00037;D;ANA MARIA/ANA MARÍA;74;4,07
00037;D;FRANCISCA;74;4,07
00039;H;PEDRO;73;4,01
00040;H;SERGI;71;3,90
00040;D;SÍLVIA/SILVIA;71;3,90
00042;H;ARNAU;70;3,85
00043;D;ANTÒNIA/ANTONIA;67;3,68
00044;D;ROSA MARIA/ROSA MARÍA;66;3,63
00045;D;MÒNICA/MÓNICA;64;3,52
00046;D;ANA;63;3,46
00046;D;MIREIA;63;3,46
00048;H;ÒSCAR/ÓSCAR;62;3,41
00049;H;PAU;61;3,35
00050;H;POL;60;3,30
00051;H;JAUME;59;3,24
00051;D;MARIA ROSA/MARÍA ROSA;59;3,24
00051;H;SALVADOR;59;3,24
00054;D;CARLA;58;3,19
00055;D;ALBA;57;3,13
00055;H;ALBERTO;57;3,13
00057;H;ORIOL;56;3,08
00057;H;ÀNGEL/ÁNGEL;56;3,08
00059;D;EVA;55;3,02
00059;H;LLUÍS;55;3,02
00059;D;MERCEDES;55;3,02
00059;H;SERGIO;55;3,02
00063;H;MIQUEL;54;2,97
00064;H;ALEJANDRO;53;2,91
00064;H;GERARD;53;2,91
00064;H;JOSÉ ANTONIO;53;2,91
00064;H;LUIS;53;2,91
00064;H;MARTÍ;53;2,91
00064;D;MERITXELL;53;2,91
00064;D;NATÀLIA/NATALIA;53;2,91
00071;H;JOSEP MARIA;52;2,86
00071;H;MIGUEL;52;2,86
00073;D;DOLORES;51;2,80
00073;H;JUAN CARLOS;51;2,80
00073;D;MARIA DOLORES/MARÍA DOLORES;51;2,80
00073;D;SARA;51;2,80
00077;H;ALEIX;50;2,75
00077;H;ANTONI;50;2,75
00077;D;CLÀUDIA/CLAUDIA;50;2,75
00080;H;IVAN/IVÁN;49;2,69
00080;D;MARÍA JOSÉ;49;2,69
00082;D;GEMMA;48;2,64
00082;D;MERCÈ;48;2,64
00082;H;ROGER;48;2,64
00085;D;TERESA;47;2,58
00086;H;RAFAEL;46;2,53
00086;H;ÀLEX/ÁLEX;46;2,53
00088;D;BERTA;45;2,47
00088;H;JESÚS;45;2,47
00090;D;LOURDES;44;2,42
00091;H;EDUARDO;43;2,36
00091;D;ELENA;43;2,36
00091;H;FERNANDO;43;2,36
00091;H;JAIME;43;2,36
00091;H;JOSÉ LUIS;43;2,36
00096;D;SANDRA;42;2,31
00097;H;ENRIQUE;41;2,25
00097;D;SÒNIA/SONIA;41;2,25
00099;D;MARGARITA;40;2,20
00099;D;MARIA DEL PILAR/MARÍA DEL PILAR;40;2,20
00099;D;MARIA DOLORS/MARÍA DOLORS;40;2,20
00099;D;MARTINA;40;2,20
00103;H;GUILLEM;39;2,14
00103;H;SANTIAGO;39;2,14
00105;D;CONCEPCIÓN;38;2,09
00105;H;JOSÉ MANUEL;38;2,09
00105;D;JUANA;38;2,09
00105;H;RAÜL/RAÚL;38;2,09
00105;H;VÍCTOR;38;2,09
00110;D;CLARA;37;2,03
00110;H;ERIC/ÈRIC/ÉRIC;37;2,03
00112;D;ESTHER;36;1,98
00112;H;JAN;36;1,98
00114;H;ADRIÀ;35;1,92
00114;H;FERRAN;35;1,92
00114;D;MARINA;35;1,92
00114;D;PILAR;35;1,92
00118;D;ANNA MARIA/ANNA MARÍA;34;1,87
00118;D;ARIADNA;34;1,87
00118;D;IRENE;34;1,87
00118;D;SUSANA;34;1,87
00122;D;ELISABET;33;1,81
00122;H;FRANCESC XAVIER;33;1,81
00122;D;MARIA ISABEL/MARÍA ISABEL;33;1,81
00122;D;OLGA;33;1,81
00126;H;ANDRÉS;32;1,76
00126;H;JOAQUÍN;32;1,76
00128;D;ANDREA;31;1,70
00128;H;CARLES;31;1,70
00128;H;EDUARD;31;1,70
00128;D;JUDITH;31;1,70
