# Noms de la població. 2020
# Comarques Gironines
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=c2
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00001;D;MARIA/MARÍA;10245;13,50
00002;H;JORDI;9729;12,82
00003;H;JOSÉ;8244;10,86
00004;D;MONTSERRAT;7263;9,57
00005;H;JOSEP;7246;9,55
00006;H;ANTONIO;7072;9,32
00007;H;JOAN;6893;9,08
00008;H;JUAN;6610;8,71
00009;H;DAVID;6479;8,54
00010;H;MARC;6158;8,11
00011;H;FRANCISCO;5936;7,82
00012;D;MARÍA DEL CARMEN;5382;7,09
00013;D;MARTA;5291;6,97
00014;D;NÚRIA/NURIA;5184;6,83
00015;D;ANNA;5168;6,81
00016;H;MANUEL;4827;6,36
00017;D;CARMEN;4813;6,34
00018;D;LAURA;4463;5,88
00019;D;CRISTINA;4170;5,49
00020;H;ALBERT;4134;5,45
00021;H;DANIEL;3928;5,17
00022;H;MOHAMED;3892;5,13
00023;D;MARIA TERESA/MARÍA TERESA;3594;4,73
00024;D;ISABEL;3530;4,65
00025;H;XAVIER;3511;4,63
00026;D;JOSEFA;3143;4,14
00027;D;ROSA;3097;4,08
00028;H;CARLOS;3053;4,02
00029;H;PERE;3045;4,01
00030;D;DOLORES;3036;4,00
00031;H;RAMON/RAMÓN;3012;3,97
00032;D;JÚLIA/JULIA;3004;3,96
00033;H;PEDRO;2941;3,87
00034;H;PAU;2887;3,80
00035;D;ANA MARIA/ANA MARÍA;2866;3,78
00036;D;ANA;2792;3,68
00037;D;SÍLVIA/SILVIA;2791;3,68
00038;D;FRANCISCA;2775;3,66
00039;D;MARIA DOLORES/MARÍA DOLORES;2756;3,63
00040;H;LLUÍS;2728;3,59
00041;D;PILAR;2707;3,57
00042;H;JAUME;2690;3,54
00043;H;MIQUEL;2671;3,52
00044;D;ANTÒNIA/ANTONIA;2640;3,48
00045;H;JORGE;2580;3,40
00046;H;MIGUEL;2571;3,39
00047;D;LAIA;2532;3,34
00048;H;FRANCESC;2482;3,27
00049;D;EVA;2452;3,23
00050;D;PAULA;2426;3,20
00051;H;JOSÉ MARIA/JOSÉ MARÍA;2367;3,12
00052;H;ÀNGEL/ÁNGEL;2347;3,09
00053;H;JAVIER;2323;3,06
00054;D;MARIA ROSA/MARÍA ROSA;2304;3,04
00055;D;SARA;2246;2,96
00056;H;SERGI;2244;2,96
00057;H;RAFAEL;2213;2,92
00058;D;TERESA;2203;2,90
00059;H;MARTÍ;2193;2,89
00060;H;LUIS;2183;2,88
00061;H;ARNAU;2162;2,85
00062;D;ROSA MARIA/ROSA MARÍA;2146;2,83
00063;H;GERARD;2116;2,79
00064;H;ÀLEX/ÁLEX;2089;2,75
00065;H;JOSÉ ANTONIO;2078;2,74
00066;D;CARLA;2075;2,73
00067;D;ALBA;2070;2,73
00067;H;JOAQUIM;2070;2,73
00069;D;MÒNICA/MÓNICA;2060;2,71
00070;D;MARINA;2051;2,70
00071;H;JOSEP MARIA;2050;2,70
00072;H;ADRIÀ;2042;2,69
00073;H;FRANCISCO JAVIER;2026;2,67
00074;H;CARLES;1995;2,63
00075;H;POL;1956;2,58
00076;D;MIREIA;1939;2,55
00077;D;GEMMA;1883;2,48
00078;D;SANDRA;1875;2,47
00079;D;SÒNIA/SONIA;1835;2,42
00080;H;JOAQUÍN;1812;2,39
00081;D;DOLORS;1797;2,37
00081;D;MARIA DEL PILAR/MARÍA DEL PILAR;1797;2,37
00083;H;IVAN/IVÁN;1792;2,36
00084;D;ELENA;1777;2,34
00085;D;MARGARITA;1760;2,32
00086;D;MARIA DOLORS/MARÍA DOLORS;1682;2,22
00087;H;ORIOL;1674;2,21
00088;H;JESÚS;1642;2,16
00089;H;JOSÉ LUIS;1637;2,16
00090;D;CLÀUDIA/CLAUDIA;1616;2,13
00091;H;ÒSCAR/ÓSCAR;1603;2,11
00092;D;FÀTIMA/FÁTIMA;1592;2,10
00093;D;MARIA ISABEL/MARÍA ISABEL;1564;2,06
00094;D;OLGA;1550;2,04
00095;H;SALVADOR;1543;2,03
00096;D;CARME;1540;2,03
00097;H;SERGIO;1526;2,01
00098;D;MERCEDES;1522;2,01
00099;H;JAIME;1515;2,00
00100;D;RAQUEL;1513;1,99
00101;H;ALEJANDRO;1502;1,98
00102;D;LÍDIA/LIDIA;1490;1,96
00103;H;EDUARD;1487;1,96
00104;D;NATÀLIA/NATALIA;1479;1,95
00105;D;ARIADNA;1458;1,92
00106;D;CONCEPCIÓN;1441;1,90
00107;H;ENRIC;1431;1,89
00108;D;JUDIT;1417;1,87
