# Noms de la població. 2020
# Pla de l'Estany
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d28
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00001;H;JOSEP;653;20,22
00002;H;JOAN;590;18,27
00003;H;JORDI;583;18,05
00004;D;MARIA/MARÍA;560;17,34
00005;H;MARC;378;11,70
00006;D;ANNA;361;11,18
00007;D;MONTSERRAT;345;10,68
00008;D;MARTA;319;9,88
00009;H;ALBERT;298;9,23
00010;H;PERE;295;9,13
00011;H;DAVID;286;8,85
00012;D;DOLORS;260;8,05
00013;H;XAVIER;246;7,62
00014;H;MIQUEL;244;7,55
00015;H;JAUME;236;7,31
00016;H;LLUÍS;233;7,21
00017;D;LAURA;229;7,09
00018;D;NÚRIA/NURIA;225;6,97
00019;H;JOSÉ;220;6,81
00020;H;JOAQUIM;211;6,53
00021;H;PAU;206;6,38
00022;D;CARME;194;6,01
00023;H;FRANCESC;192;5,94
00024;D;ROSA;184;5,70
00025;D;JÚLIA/JULIA;181;5,60
00026;H;JUAN;180;5,57
00027;D;ISABEL;173;5,36
00027;D;MARIA TERESA/MARÍA TERESA;173;5,36
00027;D;PILAR;173;5,36
00030;H;JOSEP MARIA;172;5,32
00031;D;CRISTINA;168;5,20
00032;D;MARIA DOLORS/MARÍA DOLORS;167;5,17
00033;D;MARÍA DEL CARMEN;162;5,02
00034;D;CARMEN;153;4,74
00034;D;LAIA;153;4,74
00036;H;MARTÍ;151;4,67
00037;H;RAMON/RAMÓN;146;4,52
00038;H;ANTONIO;144;4,46
00039;H;DANIEL;142;4,40
00040;D;SÍLVIA/SILVIA;138;4,27
00041;H;ARNAU;137;4,24
00042;H;FRANCISCO;135;4,18
00043;D;PAULA;134;4,15
00044;D;TERESA;130;4,02
00045;H;POL;128;3,96
00045;H;SERGI;128;3,96
00047;D;EVA;124;3,84
00048;H;CARLES;122;3,78
00049;H;ADRIÀ;121;3,75
00049;H;PEDRO;121;3,75
00051;H;MOHAMED;117;3,62
00052;D;ANNA MARIA/ANNA MARÍA;116;3,59
00053;D;MARIA DEL CARME/MARÍA DEL CARME;114;3,53
00054;D;ALBA;113;3,50
00054;H;GERARD;113;3,50
00056;H;MANUEL;111;3,44
00056;D;MARIA ROSA/MARÍA ROSA;111;3,44
00058;D;CARLA;109;3,37
00059;D;GEMMA;107;3,31
00059;H;ORIOL;107;3,31
00061;D;CLÀUDIA/CLAUDIA;106;3,28
00062;H;FERRAN;99;3,06
00063;D;MÒNICA/MÓNICA;97;3,00
00064;D;JUDIT;95;2,94
00064;H;NARCÍS;95;2,94
00066;H;FRANCESC XAVIER;94;2,91
00067;D;AINA;92;2,85
00067;D;LÍDIA/LIDIA;92;2,85
00067;D;MERCÈ;92;2,85
00070;D;MIREIA;91;2,82
00071;D;SARA;90;2,79
