# Noms de la població. 2020
# Garrotxa
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d19
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00001;D;MARIA/MARÍA;1022;17,66
00002;H;JORDI;931;16,09
00003;H;JOAN;813;14,05
00004;H;JOSEP;714;12,34
00005;D;MONTSERRAT;685;11,84
00006;H;JOSÉ;657;11,35
00006;H;JUAN;657;11,35
00008;H;MARC;529;9,14
00009;D;ANNA;527;9,11
00010;H;DAVID;499;8,62
00011;D;MARTA;476;8,23
00012;H;ALBERT;458;7,92
00013;H;ANTONIO;419;7,24
00014;D;NÚRIA/NURIA;402;6,95
00015;H;FRANCISCO;398;6,88
00016;D;LAURA;378;6,53
00017;D;MARÍA DEL CARMEN;370;6,39
00018;H;RAMON/RAMÓN;360;6,22
00019;H;PERE;358;6,19
00020;D;CARMEN;351;6,07
00021;D;PILAR;330;5,70
00022;H;MIQUEL;329;5,69
00023;D;ROSA;304;5,25
00024;D;MARIA TERESA/MARÍA TERESA;296;5,12
00025;H;FRANCESC;288;4,98
00026;D;DOLORES;278;4,80
00027;H;DANIEL;275;4,75
00028;H;MANUEL;272;4,70
00029;H;PEDRO;268;4,63
00030;D;SÍLVIA/SILVIA;267;4,61
00031;H;XAVIER;266;4,60
00032;H;LLUÍS;263;4,55
00033;H;JAUME;262;4,53
00034;D;ISABEL;261;4,51
00035;D;JÚLIA/JULIA;253;4,37
00036;D;LAIA;252;4,36
00037;D;EVA;251;4,34
00038;D;CRISTINA;248;4,29
00038;D;FRANCISCA;248;4,29
00038;H;MIGUEL;248;4,29
00041;H;PAU;245;4,23
00042;D;MARIA DOLORES/MARÍA DOLORES;238;4,11
00042;D;TERESA;238;4,11
00044;D;MARIA ROSA/MARÍA ROSA;228;3,94
00045;D;DOLORS;225;3,89
00046;D;CARME;214;3,70
00047;D;ANA MARIA/ANA MARÍA;213;3,68
00048;H;JOSEP MARIA;211;3,65
00049;H;ARNAU;208;3,59
00049;H;SERGI;208;3,59
00051;H;CARLES;206;3,56
00052;D;ANA;205;3,54
00052;H;JORGE;205;3,54
00054;H;LUIS;202;3,49
00055;H;ADRIÀ;201;3,47
00055;D;MIREIA;201;3,47
00057;H;MARTÍ;199;3,44
00058;H;ÀNGEL/ÁNGEL;194;3,35
00059;H;JOSÉ MARIA/JOSÉ MARÍA;186;3,21
00059;D;MARGARITA;186;3,21
00061;H;MOHAMED;180;3,11
00062;D;JOSEFA;175;3,02
00062;H;POL;175;3,02
00064;D;GEMMA;174;3,01
00064;H;GERARD;174;3,01
00066;D;MARIA DEL CARME/MARÍA DEL CARME;171;2,96
00066;D;PAULA;171;2,96
00068;D;CARLA;170;2,94
00068;D;MARIA DOLORS/MARÍA DOLORS;170;2,94
00070;D;ANTÒNIA/ANTONIA;167;2,89
00070;H;FERRAN;167;2,89
00072;H;FRANCESC XAVIER;166;2,87
00073;H;ERIC/ÈRIC/ÉRIC;163;2,82
00074;H;CARLOS;161;2,78
