# Noms de la població. 2020
# Gironès
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d20
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00001;H;JORDI;2660;13,75
00002;D;MARIA/MARÍA;2464;12,73
00003;D;MONTSERRAT;1823;9,42
00004;H;JOSÉ;1803;9,32
00005;H;MARC;1720;8,89
00006;H;DAVID;1709;8,83
00007;H;JOAN;1662;8,59
00008;H;JOSEP;1641;8,48
00009;H;ANTONIO;1622;8,38
00010;H;JUAN;1504;7,77
00011;D;MARTA;1477;7,63
00012;D;ANNA;1458;7,53
00013;D;NÚRIA/NURIA;1380;7,13
00014;D;LAURA;1301;6,72
00015;H;FRANCISCO;1268;6,55
00016;D;MARÍA DEL CARMEN;1267;6,55
00017;D;CARMEN;1159;5,99
00018;H;ALBERT;1157;5,98
00019;D;CRISTINA;1154;5,96
00020;H;MANUEL;1117;5,77
00021;H;DANIEL;1034;5,34
00022;H;XAVIER;1017;5,26
00023;H;MOHAMED;988;5,11
00024;H;PAU;897;4,64
00025;D;ISABEL;832;4,30
00026;D;MARIA TERESA/MARÍA TERESA;818;4,23
00027;D;JÚLIA/JULIA;802;4,14
00028;H;CARLOS;738;3,81
00028;H;LLUÍS;738;3,81
00030;H;PERE;727;3,76
00031;D;JOSEFA;726;3,75
00032;D;PAULA;718;3,71
00033;D;SÍLVIA/SILVIA;716;3,70
00034;D;LAIA;706;3,65
00035;D;ANA;698;3,61
00036;D;PILAR;694;3,59
00037;D;DOLORES;693;3,58
00038;H;MIQUEL;683;3,53
00039;D;ANTÒNIA/ANTONIA;670;3,46
00040;H;ARNAU;667;3,45
00041;H;MARTÍ;659;3,41
00042;D;ROSA;649;3,35
00043;D;MARIA DOLORES/MARÍA DOLORES;648;3,35
00044;H;RAMON/RAMÓN;645;3,33
00045;D;EVA;637;3,29
00046;D;ANA MARIA/ANA MARÍA;631;3,26
00046;H;FRANCESC;631;3,26
00048;H;GERARD;625;3,23
00049;H;PEDRO;614;3,17
00050;H;SERGI;612;3,16
00051;H;ÀNGEL/ÁNGEL;609;3,15
00052;D;CARLA;606;3,13
00053;H;JAUME;598;3,09
00054;H;JOSÉ MARIA/JOSÉ MARÍA;597;3,09
00055;H;ÀLEX/ÁLEX;591;3,05
00056;D;ALBA;576;2,98
00057;H;JOSEP MARIA;573;2,96
00057;H;ORIOL;573;2,96
00059;D;FRANCISCA;570;2,95
00060;H;ADRIÀ;569;2,94
00061;H;CARLES;560;2,89
00061;H;JORGE;560;2,89
00061;H;MIGUEL;560;2,89
00064;D;MÒNICA/MÓNICA;559;2,89
00065;H;JOAQUIM;552;2,85
00066;H;POL;549;2,84
00067;D;GEMMA;542;2,80
00068;H;LUIS;538;2,78
00069;D;SARA;537;2,77
00070;D;MARIA ROSA/MARÍA ROSA;536;2,77
00071;H;JAVIER;533;2,75
00072;D;ROSA MARIA/ROSA MARÍA;528;2,73
00073;H;RAFAEL;517;2,67
00074;H;EDUARD;504;2,60
00075;D;MIREIA;503;2,60
00076;H;JOAQUÍN;489;2,53
00077;D;SÒNIA/SONIA;488;2,52
00078;H;FRANCISCO JAVIER;485;2,51
00079;H;NARCÍS;473;2,44
00080;D;CLÀUDIA/CLAUDIA;472;2,44
00081;D;ARIADNA;467;2,41
00082;H;JOSÉ ANTONIO;466;2,41
00083;D;MARIA DOLORS/MARÍA DOLORS;464;2,40
00084;D;MARINA;458;2,37
00085;D;TERESA;451;2,33
00086;H;GUILLEM;442;2,28
00087;D;SANDRA;439;2,27
00088;D;MARIA DEL PILAR/MARÍA DEL PILAR;434;2,24
00089;D;ELENA;429;2,22
00090;D;MARGARITA;426;2,20
00091;H;FERRAN;420;2,17
00092;D;FÀTIMA/FÁTIMA;416;2,15
00093;D;IRENE;404;2,09
00094;H;JESÚS;402;2,08
00095;D;JUDIT;395;2,04
00096;D;DOLORS;390;2,02
00096;H;ROGER;390;2,02
00098;D;AINA;388;2,00
00098;H;JOSÉ LUIS;388;2,00
00100;H;IVAN/IVÁN;387;2,00
00101;D;RAQUEL;385;1,99
00102;D;OLGA;383;1,98
00103;H;JAN;382;1,97
00104;H;ALEIX;381;1,97
00105;H;ENRIC;375;1,94
00106;D;CLARA;374;1,93
00107;D;SUSANA;373;1,93
00108;D;MARIA ISABEL/MARÍA ISABEL;371;1,92
00109;D;ANNA MARIA/ANNA MARÍA;365;1,89
00109;D;ROSER;365;1,89
00111;D;MARTINA;362;1,87
00112;D;LÍDIA/LIDIA;361;1,87
00113;D;NORA;357;1,84
00114;D;EMMA;355;1,83
00115;H;SANTIAGO;354;1,83
00116;H;ÒSCAR/ÓSCAR;353;1,82
00117;D;MARIA ÁNGELES/MARÍA ÁNGELES;350;1,81
00118;D;BERTA;347;1,79
00119;H;JOEL;345;1,78
00120;D;MARIONA;344;1,78
00121;D;CARME;340;1,76
00121;D;ESTHER;340;1,76
00121;D;GLÒRIA/GLORIA;340;1,76
00124;D;CONCEPCIÓN;339;1,75
00125;H;ALEJANDRO;338;1,75
00126;H;MOHAMMED;337;1,74
00127;D;NATÀLIA/NATALIA;334;1,73
00128;D;MERCEDES;332;1,72
00129;D;JUANA;326;1,68
00130;D;MARIA ÀNGELS;323;1,67
00130;H;VÍCTOR;323;1,67
00132;H;ALBERTO;319;1,65
00132;D;ENCARNACIÓN;319;1,65
00132;D;ÀNGELA/ÁNGELA;319;1,65
00135;D;YOLANDA;316;1,63
00136;H;SALVADOR;315;1,63
00137;H;ERIC/ÈRIC/ÉRIC;314;1,62
00137;H;NIL;314;1,62
00139;H;FRANCESC XAVIER;307;1,59
00140;H;BIEL;306;1,58
00141;D;ESTER;304;1,57
