# Noms de la població. 2020
# Ripollès
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d31
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00001;H;JORDI;498;19,76
00002;D;MARIA/MARÍA;494;19,61
00003;H;JOSÉ;453;17,98
00004;D;MONTSERRAT;427;16,95
00005;H;JOAN;364;14,45
00006;H;JOSEP;362;14,37
00007;H;JUAN;342;13,57
00008;D;NÚRIA/NURIA;337;13,37
00009;H;ANTONIO;279;11,07
00010;H;MARC;254;10,08
00011;D;ANNA;240;9,52
00012;H;RAMON/RAMÓN;230;9,13
00013;H;FRANCISCO;226;8,97
00014;D;MARTA;211;8,37
00015;D;MARÍA DEL CARMEN;208;8,25
00016;H;ALBERT;196;7,78
00017;D;LAURA;187;7,42
00018;H;DAVID;186;7,38
00019;D;CARMEN;185;7,34
00020;H;PEDRO;184;7,30
00021;D;MARIA TERESA/MARÍA TERESA;178;7,06
00022;H;MANUEL;176;6,98
00023;H;XAVIER;168;6,67
00024;D;ROSA;145;5,75
00024;D;TERESA;145;5,75
00026;D;DOLORES;138;5,48
00027;H;JAUME;137;5,44
00028;H;PERE;135;5,36
00029;D;FRANCISCA;129;5,12
00030;H;EUDALD;125;4,96
00031;H;ARNAU;124;4,92
00032;D;MARIA ROSA/MARÍA ROSA;122;4,84
00033;D;ANTÒNIA/ANTONIA;120;4,76
00033;H;GERARD;120;4,76
00035;D;CRISTINA;117;4,64
00036;H;JORGE;114;4,52
00037;D;EVA;113;4,48
00037;D;LAIA;113;4,48
00039;D;MARIA DOLORES/MARÍA DOLORES;112;4,44
00040;D;ISABEL;111;4,41
00041;H;MIQUEL;109;4,33
00042;H;JOSÉ MARIA/JOSÉ MARÍA;107;4,25
00042;H;MIGUEL;107;4,25
00044;D;JÚLIA/JULIA;105;4,17
00045;D;ANA;103;4,09
00045;H;FRANCESC;103;4,09
00045;H;MOHAMED;103;4,09
00048;D;ANA MARIA/ANA MARÍA;101;4,01
00048;H;SERGI;101;4,01
00050;D;JOSEFA;100;3,97
00050;H;ÀNGEL/ÁNGEL;100;3,97
00052;D;PILAR;97;3,85
00053;H;PAU;96;3,81
00054;H;DANIEL;94;3,73
00054;H;JAIME;94;3,73
00056;H;CARLOS;93;3,69
00057;H;LLUÍS;89;3,53
00057;D;MIREIA;89;3,53
00059;H;POL;87;3,45
00060;D;CARLA;84;3,33
00060;D;SÍLVIA/SILVIA;84;3,33
00062;H;ORIOL;82;3,25
00063;D;MERCEDES;80;3,17
00063;H;ROGER;80;3,17
00065;H;JAVIER;79;3,14
00066;D;MARIA DEL CARME/MARÍA DEL CARME;77;3,06
00066;H;MARTÍ;77;3,06
00068;D;ÀNGELA/ÁNGELA;75;2,98
00069;D;JUDIT;74;2,94
00069;D;MARGARITA;74;2,94
00069;D;ROSA MARIA/ROSA MARÍA;74;2,94
00072;H;ADRIÀ;71;2,82
00072;H;CARLES;71;2,82
00072;H;ENRIC;71;2,82
00072;D;GEMMA;71;2,82
00076;D;CARME;70;2,78
00076;D;SARA;70;2,78
00078;D;DOLORS;69;2,74
00078;D;MÒNICA/MÓNICA;69;2,74
00078;H;RAFAEL;69;2,74
00081;D;ELISABET;68;2,70
00081;H;JOSEP MARIA;68;2,70
00081;D;MARIA DOLORS/MARÍA DOLORS;68;2,70
00084;D;JOSEFINA;67;2,66
00085;D;ALBA;66;2,62
00085;D;ANNA MARIA/ANNA MARÍA;66;2,62
00085;H;ANTONI;66;2,62
00085;D;MARIA ÁNGELES/MARÍA ÁNGELES;66;2,62
00089;D;CONCEPCIÓN;64;2,54
00090;H;LUIS;62;2,46
00091;H;JESÚS;61;2,42
00092;D;AINA;58;2,30
00092;H;ALEIX;58;2,30
00092;H;ERIC/ÈRIC/ÉRIC;58;2,30
00092;D;NATÀLIA/NATALIA;58;2,30
00092;D;OLGA;58;2,30
00097;H;FRANCISCO JAVIER;57;2,26
00097;D;MARIA DEL PILAR/MARÍA DEL PILAR;57;2,26
00097;D;PAULA;57;2,26
00100;H;JOAQUÍN;56;2,22
00101;H;IVAN/IVÁN;55;2,18
00101;H;JOSÉ ANTONIO;55;2,18
00101;D;SANDRA;55;2,18
00104;H;EDUARD;54;2,14
00105;H;ALBERTO;53;2,10
00105;H;GUILLEM;53;2,10
00107;H;FERRAN;51;2,02
00107;D;ROSER;51;2,02
00107;D;SUSANA;51;2,02
00107;H;ÒSCAR/ÓSCAR;51;2,02
00111;D;CLÀUDIA/CLAUDIA;50;1,98
00111;D;MARINA;50;1,98
00111;D;NEUS;50;1,98
00114;D;LOURDES;49;1,94
00114;D;MARIA ISABEL/MARÍA ISABEL;49;1,94
00114;H;ÀLEX/ÁLEX;49;1,94
00117;D;JANA;48;1,90
00117;H;JOAQUIM;48;1,90
00117;H;JOSÉ LUIS;48;1,90
00117;D;JUANA;48;1,90
00117;D;RAQUEL;48;1,90
00122;H;SERGIO;47;1,87
00123;D;ELENA;46;1,83
00123;H;ENRIQUE;46;1,83
00123;D;MANUELA;46;1,83
00123;D;MERCÈ;46;1,83
00123;D;MERITXELL;46;1,83
00128;H;FRANCESC XAVIER;45;1,79
00128;H;SALVADOR;45;1,79
00130;D;ESTER;44;1,75
00131;H;JAN;43;1,71
00131;D;LÍDIA/LIDIA;43;1,71
00131;D;MARIA ÀNGELS;43;1,71
00131;D;YOLANDA;43;1,71
00135;H;ESTEBAN;41;1,63
00135;H;ESTEVE;41;1,63
00135;D;GLÒRIA/GLORIA;41;1,63
00135;H;MANEL;41;1,63
00139;H;FERNANDO;40;1,59
00139;D;MAGDALENA;40;1,59
00139;D;RAMONA;40;1,59
00142;D;BERTA;39;1,55
00142;D;CONCEPCIÓ;39;1,55
00142;D;MARTINA;39;1,55
00142;D;ROSARIO;39;1,55
00146;D;FÀTIMA/FÁTIMA;38;1,51
00147;D;ARIADNA;37;1,47
00147;H;NIL;37;1,47
