# Noms de la població. 2020
# Selva
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d34
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00001;D;MARIA/MARÍA;2326;13,48
00002;H;JOSÉ;2068;11,99
00003;H;JORDI;1975;11,45
00004;H;ANTONIO;1950;11,30
00005;D;MONTSERRAT;1638;9,50
00006;H;FRANCISCO;1577;9,14
00007;H;DAVID;1565;9,07
00008;H;JOSEP;1544;8,95
00009;H;JUAN;1482;8,59
00010;H;MANUEL;1381;8,01
00011;D;MARÍA DEL CARMEN;1358;7,87
00012;H;JOAN;1350;7,83
00013;H;MARC;1274;7,39
00014;D;MARTA;1101;6,38
00015;D;CRISTINA;1097;6,36
00016;D;ANNA;1055;6,12
00017;D;CARMEN;1054;6,11
00018;H;DANIEL;1033;5,99
00019;D;NÚRIA/NURIA;1014;5,88
00020;D;LAURA;926;5,37
00021;D;ISABEL;886;5,14
00022;H;ALBERT;815;4,72
00023;D;JOSEFA;786;4,56
00024;D;MARIA TERESA/MARÍA TERESA;764;4,43
00025;D;DOLORES;734;4,26
00026;H;CARLOS;728;4,22
00027;D;ANA MARIA/ANA MARÍA;725;4,20
00028;D;ANA;701;4,06
00029;H;PEDRO;691;4,01
00030;H;XAVIER;687;3,98
00031;D;ANTÒNIA/ANTONIA;679;3,94
00032;D;FRANCISCA;666;3,86
00033;H;JORGE;657;3,81
00034;H;JAVIER;648;3,76
00035;D;MARIA DOLORES/MARÍA DOLORES;647;3,75
00036;D;ROSA;645;3,74
00037;H;RAMON/RAMÓN;636;3,69
00038;H;MIGUEL;632;3,66
00039;H;RAFAEL;631;3,66
00040;D;SÍLVIA/SILVIA;613;3,55
00041;H;JOSÉ ANTONIO;600;3,48
00042;D;JÚLIA/JULIA;598;3,47
00043;H;ÀNGEL/ÁNGEL;590;3,42
00044;H;PAU;575;3,33
00045;H;FRANCISCO JAVIER;561;3,25
00046;H;JOSÉ MARIA/JOSÉ MARÍA;555;3,22
00047;D;PILAR;552;3,20
00048;D;PAULA;533;3,09
00049;H;JAUME;522;3,03
00050;D;EVA;517;3,00
00050;H;IVAN/IVÁN;517;3,00
00052;D;SARA;516;2,99
00053;H;JOAQUIM;511;2,96
00053;H;MOHAMED;511;2,96
00055;D;LAIA;509;2,95
00056;H;PERE;505;2,93
00057;H;FRANCESC;501;2,90
00057;H;LUIS;501;2,90
00059;D;SANDRA;485;2,81
00060;D;MÒNICA/MÓNICA;475;2,75
00060;H;SALVADOR;475;2,75
00060;H;ÀLEX/ÁLEX;475;2,75
00063;D;ALBA;474;2,75
00064;D;MARIA ROSA/MARÍA ROSA;473;2,74
00065;H;LLUÍS;469;2,72
00066;D;ELENA;468;2,71
00066;H;MIQUEL;468;2,71
00066;D;ROSA MARIA/ROSA MARÍA;468;2,71
00069;H;JOAQUÍN;463;2,68
00070;D;MARINA;461;2,67
00070;H;ÒSCAR/ÓSCAR;461;2,67
00072;D;CARLA;460;2,67
00073;H;ARNAU;457;2,65
00073;D;MIREIA;457;2,65
00075;H;SERGIO;446;2,59
00076;H;GERARD;444;2,57
00077;H;RAÜL/RAÚL;442;2,56
00078;H;ALEJANDRO;438;2,54
00078;H;JOSÉ LUIS;438;2,54
00078;H;SERGI;438;2,54
00081;D;TERESA;433;2,51
00082;D;MARIA ISABEL/MARÍA ISABEL;429;2,49
00083;D;MERCEDES;425;2,46
00083;D;SÒNIA/SONIA;425;2,46
00085;D;RAQUEL;419;2,43
00086;D;MARIA DEL PILAR/MARÍA DEL PILAR;414;2,40
00087;D;GEMMA;411;2,38
00088;D;NATÀLIA/NATALIA;407;2,36
00089;H;JESÚS;405;2,35
00090;H;JOSÉ MANUEL;393;2,28
00090;D;OLGA;393;2,28
00092;H;POL;388;2,25
00093;H;ALBERTO;381;2,21
00094;H;JOSEP MARIA;378;2,19
00095;H;JAIME;375;2,17
00096;H;CARLES;370;2,15
00097;H;ADRIÀ;355;2,06
00098;H;ORIOL;349;2,02
00099;H;FERNANDO;342;1,98
00099;H;JOEL;342;1,98
00101;H;ERIC/ÈRIC/ÉRIC;341;1,98
00102;D;YOLANDA;340;1,97
00103;D;MARIA ÁNGELES/MARÍA ÁNGELES;339;1,97
00104;D;CONCEPCIÓN;338;1,96
00105;D;JUANA;334;1,94
00105;H;VÍCTOR;334;1,94
00107;D;MANUELA;330;1,91
00108;H;MIGUEL ÀNGEL/MIGUEL ÁNGEL;328;1,90
00109;D;LUCÍA;323;1,87
00110;D;DOLORS;321;1,86
00110;D;ENCARNACIÓN;321;1,86
00112;H;MARTÍ;319;1,85
00113;D;LÍDIA/LIDIA;317;1,84
00114;D;MARGARITA;316;1,83
00114;D;MARIA DOLORS/MARÍA DOLORS;316;1,83
